"h Silverman:  0.161164359536646"
"radius"	"intCrit"
0.05	NaN
0.1	NaN
0.15	0.333871961215688
0.2	0.327067545463615
0.25	0.342510483124707
0.3	0.336408948661264
0.35	0.351292876153189
0.4	0.334476846200455
0.45	0.357321428895909
0.5	0.338106887273459
0.55	0.395688850632276
0.6	0.395530100991807
0.65	0.395530100991807
0.7	0.418004523234134
0.75	0.418004523234134
0.8	0.414765793008333
0.85	0.414765793008333
0.9	0.444696377905178
0.95	0.483388318638177
1	0.48326600781167
1.05	0.48326600781167
1.1	0.48326600781167
1.15	0.48326600781167
1.2	0.48326600781167
1.25	0.48326600781167
1.3	0.48326600781167
1.35	0.48326600781167
1.4	0.48326600781167
1.45	0.48326600781167
1.5	0.48326600781167
1.55	0.48326600781167
1.6	0.48326600781167
1.65	0.48326600781167
1.7	0.479116990398326
1.75	0.479116990398326
1.8	0.450401262216984
1.85	0.388398502623083
1.9	0.38465025924606
1.95	0.38465025924606
2	0.38465025924606
2.05	0.384038978212355
2.1	0.384038978212355
2.15	0.384038978212355
2.2	0.384038978212355
2.25	0.421772376474006
2.3	0.421772376474006
2.35	0.421772376474006
2.4	0.421772376474006
2.45	0.506251093009336
2.5	0.506251093009336
2.55	0.506251093009336
2.6	0.506251093009336
2.65	0.506251093009336
2.7	0.506251093009336
2.75	0.506251093009336
2.8	0.506251093009336
2.85	0.506251093009336
2.9	0.506251093009336
2.95	0.506251093009336
3	0.506251093009336
3.05	0.506251093009336
3.1	0.506251093009336
3.15	0.506251093009336
3.2	0.506251093009336
3.25	0.506251093009336
3.3	0.506251093009336
3.35	0.506251093009336
3.4	0.506251093009336
3.45	0.506251093009336
3.5	0.506251093009336
3.55	0.506251093009336
3.6	0.506251093009336
3.65	0.506251093009336
3.69999999999999	0.506251093009336
3.74999999999999	0.506251093009336
3.79999999999999	0.506251093009336
