"h Silverman:  1.35536513801093"
"radius"	"intCrit"
0.6	NaN
1.2	NaN
1.8	NaN
2.4	NaN
3	NaN
3.6	NaN
4.2	NaN
4.8	NaN
5.4	NaN
6	NaN
6.6	NaN
7.2	NaN
7.8	NaN
8.4	NaN
9	NaN
9.6	NaN
10.2	0.196003744753331
10.8	0.196003744753331
11.4	NaN
12	NaN
12.6	NaN
13.2	NaN
13.8	NaN
14.4	0.2388540561712
15	0.272728313909391
15.6	0.272728313909391
16.2	0.272728313909391
16.8	0.272728313909391
